id,jornada,local,visitante,goles_local,goles_visitante,goleadores,asistencias,penaltis,alineacion_local,alineacion_visitante,amarillas,rojas,suspension_5_amarillas,lesiones,tarjetas_staff
11,2,Brentford,Nottingham Forest,1,3,Jugador77;Jugador56;Jugador8;Jugador100,Jugador48;Jugador337;Jugador289,,"Jugador139,Jugador141,Jugador177,Jugador7,Jugador377,Jugador195,Jugador253,Jugador318,Jugador20,Jugador300,Jugador189","Jugador35,Jugador119,Jugador318,Jugador172,Jugador76,Jugador69,Jugador319,Jugador331,Jugador268,Jugador270,Jugador143",Jugador309;Jugador91;Jugador52,Jugador199;Jugador21,,,
12,2,Everton,Luton Town,2,1,Jugador263;Jugador103;Jugador367,Jugador245;Jugador221,,"Jugador121,Jugador141,Jugador308,Jugador223,Jugador75,Jugador106,Jugador81,Jugador265,Jugador289,Jugador268,Jugador134","Jugador112,Jugador267,Jugador91,Jugador374,Jugador45,Jugador366,Jugador200,Jugador11,Jugador153,Jugador141,Jugador263",Jugador330;Jugador58;Jugador295,Jugador295;Jugador250,,,
13,2,Crystal Palace,Liverpool,4,1,Jugador370;Jugador316;Jugador285;Jugador378;Jugador96,Jugador245;Jugador119;Jugador109;Jugador93,,"Jugador117,Jugador282,Jugador182,Jugador179,Jugador142,Jugador245,Jugador367,Jugador52,Jugador109,Jugador307,Jugador120","Jugador183,Jugador153,Jugador61,Jugador163,Jugador390,Jugador36,Jugador368,Jugador315,Jugador104,Jugador336,Jugador192",Jugador121;Jugador29;Jugador45;Jugador147;Jugador174,Jugador355,,,
14,2,Bournemouth,Manchester City,2,2,Jugador14;Jugador336;Jugador191;Jugador306,Jugador175;Jugador324;Jugador350,,"Jugador223,Jugador13,Jugador365,Jugador168,Jugador209,Jugador335,Jugador269,Jugador84,Jugador15,Jugador346,Jugador45","Jugador45,Jugador314,Jugador220,Jugador62,Jugador134,Jugador327,Jugador114,Jugador8,Jugador383,Jugador169,Jugador93",Jugador315;Jugador232;Jugador371;Jugador347;Jugador393;Jugador212,Jugador377,,,
15,2,Aston Villa,Manchester United,4,2,Jugador216;Jugador192;Jugador326;Jugador35;Jugador334;Jugador155,Jugador197;Jugador91;Jugador314;Jugador311;Jugador54,,"Jugador93,Jugador350,Jugador366,Jugador317,Jugador114,Jugador73,Jugador118,Jugador309,Jugador198,Jugador205,Jugador290","Jugador379,Jugador299,Jugador65,Jugador308,Jugador104,Jugador387,Jugador137,Jugador358,Jugador294,Jugador146,Jugador266",,,,,
16,2,Chelsea,Wolves,1,0,Jugador365,,Jugador365 (penalti),"Jugador13,Jugador98,Jugador124,Jugador49,Jugador382,Jugador262,Jugador61,Jugador204,Jugador287,Jugador102,Jugador334","Jugador23,Jugador399,Jugador349,Jugador281,Jugador120,Jugador323,Jugador238,Jugador30,Jugador215,Jugador95,Jugador140",Jugador56;Jugador303;Jugador70;Jugador68;Jugador123;Jugador48,,,,
17,2,Tottenham,Newcastle,4,2,Jugador231;Jugador98;Jugador283;Jugador86;Jugador221;Jugador183,Jugador351;Jugador92;Jugador251;Jugador264;Jugador320,,"Jugador99,Jugador342,Jugador103,Jugador278,Jugador195,Jugador351,Jugador249,Jugador279,Jugador300,Jugador161,Jugador393","Jugador294,Jugador285,Jugador317,Jugador148,Jugador198,Jugador391,Jugador244,Jugador241,Jugador253,Jugador151,Jugador250",Jugador210;Jugador179;Jugador314;Jugador235;Jugador41;Jugador266,,,Jugador124 (lesión),Staff Newcastle (amarilla)
18,2,Fulham,West Ham,0,1,Jugador349,,,"Jugador311,Jugador145,Jugador7,Jugador40,Jugador10,Jugador348,Jugador176,Jugador83,Jugador222,Jugador328,Jugador106","Jugador78,Jugador62,Jugador273,Jugador47,Jugador84,Jugador278,Jugador18,Jugador182,Jugador337,Jugador93,Jugador115",,Jugador313;Jugador278,,,
19,2,Arsenal,Burnley,2,3,Jugador123;Jugador236;Jugador185;Jugador154;Jugador14,Jugador328;Jugador1;Jugador114;Jugador284,,"Jugador128,Jugador326,Jugador382,Jugador289,Jugador76,Jugador351,Jugador116,Jugador176,Jugador360,Jugador37,Jugador53","Jugador170,Jugador143,Jugador274,Jugador25,Jugador38,Jugador110,Jugador95,Jugador283,Jugador233,Jugador126,Jugador264",Jugador59;Jugador251,Jugador139,,,
20,2,Sheffield United,Brighton,2,0,Jugador60;Jugador4,Jugador102,Jugador60 (penalti),"Jugador355,Jugador185,Jugador92,Jugador347,Jugador361,Jugador129,Jugador224,Jugador154,Jugador103,Jugador215,Jugador265","Jugador320,Jugador234,Jugador235,Jugador15,Jugador361,Jugador306,Jugador389,Jugador154,Jugador117,Jugador387,Jugador307",Jugador390;Jugador394;Jugador350;Jugador103;Jugador358;Jugador330,Jugador233;Jugador290,,,Staff Brighton (amarilla)
21,3,Crystal Palace,Tottenham,3,0,Jugador274;Jugador169;Jugador206,Jugador111;Jugador35,,"Jugador129,Jugador399,Jugador44,Jugador221,Jugador49,Jugador368,Jugador256,Jugador298,Jugador361,Jugador274,Jugador353","Jugador203,Jugador374,Jugador165,Jugador389,Jugador356,Jugador321,Jugador90,Jugador205,Jugador163,Jugador361,Jugador354",Jugador387,Jugador187;Jugador269,,,
22,3,Nottingham Forest,Aston Villa,1,2,Jugador188;Jugador4;Jugador194,Jugador345;Jugador1,,"Jugador107,Jugador264,Jugador64,Jugador53,Jugador273,Jugador77,Jugador340,Jugador342,Jugador186,Jugador159,Jugador246","Jugador47,Jugador341,Jugador285,Jugador290,Jugador127,Jugador202,Jugador328,Jugador282,Jugador319,Jugador344,Jugador156",Jugador368;Jugador381;Jugador130,Jugador352,,,Staff Aston Villa (amarilla)
23,3,Newcastle,West Ham,0,4,Jugador163;Jugador186;Jugador87;Jugador5,Jugador14;Jugador214;Jugador334,,"Jugador114,Jugador71,Jugador87,Jugador79,Jugador144,Jugador103,Jugador121,Jugador60,Jugador84,Jugador391,Jugador329","Jugador6,Jugador4,Jugador196,Jugador61,Jugador162,Jugador99,Jugador363,Jugador123,Jugador189,Jugador260,Jugador119",Jugador257;Jugador17;Jugador219;Jugador167;Jugador399,Jugador361,,Jugador103 (lesión),
24,3,Liverpool,Everton,1,0,Jugador162,,,"Jugador289,Jugador285,Jugador359,Jugador270,Jugador64,Jugador59,Jugador208,Jugador175,Jugador184,Jugador32,Jugador263","Jugador155,Jugador83,Jugador257,Jugador235,Jugador241,Jugador5,Jugador109,Jugador2,Jugador128,Jugador159,Jugador288",Jugador52;Jugador19;Jugador183,,,,
25,3,Manchester United,Brighton,1,0,Jugador370,,Jugador370 (penalti),"Jugador144,Jugador394,Jugador351,Jugador330,Jugador61,Jugador119,Jugador160,Jugador197,Jugador39,Jugador201,Jugador143","Jugador158,Jugador210,Jugador238,Jugador246,Jugador183,Jugador33,Jugador92,Jugador57,Jugador248,Jugador79,Jugador19",Jugador168,Jugador267,,,
26,3,Arsenal,Wolves,0,4,Jugador251;Jugador31;Jugador387;Jugador397,Jugador290;Jugador159;Jugador379,,"Jugador399,Jugador256,Jugador111,Jugador396,Jugador183,Jugador116,Jugador67,Jugador233,Jugador142,Jugador156,Jugador357","Jugador184,Jugador379,Jugador391,Jugador166,Jugador383,Jugador123,Jugador185,Jugador214,Jugador138,Jugador59,Jugador106",Jugador28;Jugador264;Jugador5;Jugador128;Jugador377;Jugador160,Jugador352,,Jugador277 (lesión),
27,3,Manchester City,Bournemouth,3,3,Jugador88;Jugador317;Jugador368;Jugador204;Jugador225;Jugador170,Jugador180;Jugador137;Jugador33;Jugador250;Jugador178,,"Jugador27,Jugador9,Jugador330,Jugador258,Jugador285,Jugador51,Jugador84,Jugador214,Jugador54,Jugador153,Jugador385","Jugador277,Jugador267,Jugador213,Jugador101,Jugador380,Jugador385,Jugador296,Jugador338,Jugador201,Jugador75,Jugador219",Jugador360,Jugador92;Jugador76,,Jugador286 (lesión),
28,3,Burnley,Sheffield United,2,3,Jugador231;Jugador65;Jugador109;Jugador350;Jugador241,Jugador166;Jugador326;Jugador362;Jugador378,,"Jugador248,Jugador70,Jugador190,Jugador223,Jugador273,Jugador211,Jugador165,Jugador28,Jugador237,Jugador398,Jugador127","Jugador88,Jugador101,Jugador294,Jugador317,Jugador215,Jugador14,Jugador25,Jugador72,Jugador150,Jugador166,Jugador226",Jugador171;Jugador16;Jugador25;Jugador127,,,,
29,3,Chelsea,Luton Town,2,3,Jugador164;Jugador386;Jugador297;Jugador223;Jugador280,Jugador36;Jugador220;Jugador68;Jugador146,Jugador164 (penalti),"Jugador275,Jugador386,Jugador27,Jugador288,Jugador196,Jugador256,Jugador298,Jugador284,Jugador112,Jugador17,Jugador101","Jugador139,Jugador215,Jugador249,Jugador191,Jugador132,Jugador112,Jugador288,Jugador283,Jugador121,Jugador202,Jugador259",Jugador347,Jugador251,,,
30,3,Fulham,Brentford,4,2,Jugador384;Jugador194;Jugador113;Jugador354;Jugador33;Jugador188,Jugador349;Jugador169;Jugador276;Jugador267;Jugador95,,"Jugador347,Jugador175,Jugador257,Jugador323,Jugador389,Jugador211,Jugador272,Jugador395,Jugador143,Jugador43,Jugador279","Jugador152,Jugador331,Jugador344,Jugador233,Jugador255,Jugador170,Jugador84,Jugador207,Jugador160,Jugador161,Jugador113",Jugador347;Jugador181;Jugador59,,,Jugador384 (lesión),
31,4,Brighton,Liverpool,3,1,Jugador268;Jugador103;Jugador364;Jugador313,Jugador105;Jugador197;Jugador279,,"Jugador292,Jugador363,Jugador113,Jugador147,Jugador158,Jugador254,Jugador169,Jugador151,Jugador381,Jugador101,Jugador36","Jugador128,Jugador392,Jugador244,Jugador315,Jugador41,Jugador257,Jugador222,Jugador59,Jugador99,Jugador142,Jugador157",Jugador86;Jugador224,Jugador342,,,
32,4,Aston Villa,Chelsea,2,3,Jugador87;Jugador275;Jugador146;Jugador8;Jugador189,Jugador295;Jugador42;Jugador93;Jugador5,,"Jugador292,Jugador342,Jugador362,Jugador155,Jugador183,Jugador311,Jugador202,Jugador163,Jugador96,Jugador276,Jugador129","Jugador383,Jugador315,Jugador163,Jugador271,Jugador150,Jugador341,Jugador388,Jugador131,Jugador218,Jugador337,Jugador320",,,,,
33,4,Manchester City,Nottingham Forest,3,4,Jugador92;Jugador120;Jugador188;Jugador159;Jugador67;Jugador268;Jugador262,Jugador168;Jugador37;Jugador218;Jugador164;Jugador379;Jugador39,,"Jugador256,Jugador65,Jugador190,Jugador230,Jugador305,Jugador334,Jugador242,Jugador137,Jugador386,Jugador193,Jugador387","Jugador231,Jugador142,Jugador229,Jugador156,Jugador253,Jugador322,Jugador67,Jugador68,Jugador363,Jugador141,Jugador104",Jugador70;Jugador53;Jugador326;Jugador254;Jugador303;Jugador9,Jugador181,,,
34,4,Tottenham,Luton Town,2,3,Jugador170;Jugador108;Jugador126;Jugador21;Jugador97,Jugador71;Jugador24;Jugador178;Jugador116,,"Jugador171,Jugador208,Jugador310,Jugador196,Jugador178,Jugador182,Jugador304,Jugador275,Jugador23,Jugador318,Jugador202","Jugador81,Jugador396,Jugador106,Jugador202,Jugador378,Jugador34,Jugador301,Jugador128,Jugador251,Jugador330,Jugador267",Jugador206;Jugador325;Jugador196;Jugador385;Jugador135,Jugador86,,,
35,4,Fulham,Brentford,0,0,,,,"Jugador111,Jugador207,Jugador190,Jugador278,Jugador369,Jugador206,Jugador201,Jugador287,Jugador318,Jugador361,Jugador25","Jugador89,Jugador17,Jugador341,Jugador358,Jugador170,Jugador277,Jugador65,Jugador58,Jugador310,Jugador162,Jugador16",Jugador235,Jugador125;Jugador134,,Jugador318 (lesión),
36,4,Sheffield United,Manchester United,4,2,Jugador390;Jugador149;Jugador361;Jugador264;Jugador231;Jugador163,Jugador104;Jugador210;Jugador258;Jugador367;Jugador239,,"Jugador96,Jugador94,Jugador271,Jugador347,Jugador128,Jugador400,Jugador54,Jugador95,Jugador206,Jugador86,Jugador385","Jugador353,Jugador207,Jugador219,Jugador341,Jugador104,Jugador323,Jugador254,Jugador182,Jugador247,Jugador25,Jugador131",Jugador199;Jugador103;Jugador200;Jugador46;Jugador348;Jugador154,Jugador124;Jugador297,,,
37,4,West Ham,Newcastle,4,2,Jugador83;Jugador237;Jugador309;Jugador160;Jugador346;Jugador59,Jugador379;Jugador216;Jugador364;Jugador192;Jugador240,,"Jugador385,Jugador235,Jugador93,Jugador203,Jugador223,Jugador63,Jugador379,Jugador154,Jugador222,Jugador111,Jugador32","Jugador46,Jugador41,Jugador228,Jugador66,Jugador84,Jugador158,Jugador116,Jugador20,Jugador140,Jugador302,Jugador269",Jugador280;Jugador277;Jugador235;Jugador180,,Jugador280 (pierde próximo partido),,Staff Newcastle (amarilla)
38,4,Crystal Palace,Everton,2,2,Jugador79;Jugador200;Jugador346;Jugador4,Jugador261;Jugador197;Jugador362,Jugador79 (penalti),"Jugador325,Jugador356,Jugador161,Jugador353,Jugador104,Jugador298,Jugador34,Jugador106,Jugador184,Jugador373,Jugador162","Jugador131,Jugador350,Jugador278,Jugador179,Jugador41,Jugador361,Jugador181,Jugador21,Jugador227,Jugador192,Jugador122",Jugador268;Jugador266;Jugador141;Jugador346;Jugador48;Jugador166,Jugador226,,Jugador143 (lesión),
39,4,Wolves,Arsenal,1,2,Jugador339;Jugador122;Jugador61,Jugador220;Jugador140,,"Jugador166,Jugador40,Jugador154,Jugador108,Jugador59,Jugador4,Jugador46,Jugador374,Jugador328,Jugador164,Jugador352","Jugador259,Jugador307,Jugador258,Jugador141,Jugador46,Jugador166,Jugador233,Jugador175,Jugador274,Jugador303,Jugador331",Jugador246;Jugador355;Jugador185,Jugador264,,,
40,4,Bournemouth,Burnley,4,4,Jugador263;Jugador28;Jugador43;Jugador54;Jugador344;Jugador386;Jugador214;Jugador71,Jugador130;Jugador323;Jugador117;Jugador59;Jugador387;Jugador45;Jugador280,,"Jugador10,Jugador191,Jugador126,Jugador236,Jugador90,Jugador251,Jugador153,Jugador31,Jugador355,Jugador242,Jugador121","Jugador192,Jugador373,Jugador223,Jugador78,Jugador346,Jugador389,Jugador235,Jugador1,Jugador183,Jugador332,Jugador55",Jugador11;Jugador46,Jugador357;Jugador328,,,
41,5,West Ham,Luton Town,0,3,Jugador283;Jugador74;Jugador299,Jugador301;Jugador338,,"Jugador158,Jugador35,Jugador337,Jugador228,Jugador313,Jugador156,Jugador92,Jugador330,Jugador119,Jugador286,Jugador189","Jugador173,Jugador302,Jugador150,Jugador278,Jugador329,Jugador310,Jugador313,Jugador76,Jugador338,Jugador203,Jugador276",,Jugador21,,,
42,5,Manchester City,Liverpool,0,1,Jugador371,,Jugador371 (penalti),"Jugador167,Jugador338,Jugador107,Jugador140,Jugador67,Jugador11,Jugador370,Jugador341,Jugador36,Jugador79,Jugador161","Jugador35,Jugador334,Jugador102,Jugador238,Jugador368,Jugador278,Jugador82,Jugador223,Jugador220,Jugador291,Jugador339",,Jugador41,,,
43,5,Crystal Palace,Burnley,3,2,Jugador262;Jugador80;Jugador142;Jugador185;Jugador285,Jugador119;Jugador96;Jugador338;Jugador29,,"Jugador334,Jugador82,Jugador237,Jugador324,Jugador217,Jugador176,Jugador164,Jugador127,Jugador323,Jugador242,Jugador147","Jugador381,Jugador180,Jugador51,Jugador109,Jugador325,Jugador297,Jugador130,Jugador111,Jugador89,Jugador333,Jugador116",Jugador327;Jugador35;Jugador1;Jugador182,Jugador219;Jugador304,,,
44,5,Newcastle,Tottenham,1,1,Jugador308;Jugador224,Jugador324,Jugador308 (penalti),"Jugador198,Jugador379,Jugador322,Jugador310,Jugador59,Jugador342,Jugador207,Jugador159,Jugador158,Jugador240,Jugador277","Jugador148,Jugador290,Jugador285,Jugador9,Jugador41,Jugador79,Jugador189,Jugador372,Jugador255,Jugador7,Jugador81",,,,,
45,5,Arsenal,Fulham,2,3,Jugador21;Jugador25;Jugador160;Jugador149;Jugador280,Jugador35;Jugador332;Jugador42;Jugador75,,"Jugador232,Jugador314,Jugador54,Jugador86,Jugador122,Jugador81,Jugador198,Jugador289,Jugador332,Jugador177,Jugador390","Jugador194,Jugador309,Jugador392,Jugador398,Jugador253,Jugador198,Jugador275,Jugador330,Jugador247,Jugador217,Jugador319",Jugador56;Jugador135,Jugador222;Jugador125,,,Staff Fulham (amarilla)
46,5,Everton,Chelsea,2,1,Jugador350;Jugador332;Jugador358,Jugador255;Jugador170,,"Jugador13,Jugador170,Jugador4,Jugador381,Jugador10,Jugador348,Jugador197,Jugador326,Jugador163,Jugador261,Jugador74","Jugador312,Jugador274,Jugador10,Jugador207,Jugador35,Jugador334,Jugador255,Jugador205,Jugador25,Jugador77,Jugador254",Jugador143;Jugador325;Jugador224;Jugador270;Jugador118;Jugador183,Jugador336;Jugador179,,,
47,5,Nottingham Forest,Brighton,2,0,Jugador30;Jugador4,Jugador58,,"Jugador236,Jugador121,Jugador130,Jugador2,Jugador48,Jugador206,Jugador395,Jugador70,Jugador179,Jugador213,Jugador10","Jugador393,Jugador103,Jugador322,Jugador208,Jugador220,Jugador387,Jugador372,Jugador289,Jugador320,Jugador31,Jugador270",Jugador238;Jugador99;Jugador13;Jugador321;Jugador302;Jugador178,Jugador329,,,
48,5,Wolves,Aston Villa,2,4,Jugador376;Jugador365;Jugador396;Jugador373;Jugador11;Jugador278,Jugador210;Jugador31;Jugador236;Jugador332;Jugador92,Jugador376 (penalti),"Jugador264,Jugador25,Jugador340,Jugador265,Jugador187,Jugador293,Jugador314,Jugador254,Jugador347,Jugador295,Jugador228","Jugador58,Jugador219,Jugador106,Jugador287,Jugador335,Jugador101,Jugador111,Jugador300,Jugador177,Jugador374,Jugador362",Jugador253;Jugador238;Jugador9;Jugador349;Jugador185;Jugador152,Jugador47;Jugador3,,,
49,5,Sheffield United,Bournemouth,0,3,Jugador208;Jugador95;Jugador141,Jugador189;Jugador400,,"Jugador269,Jugador273,Jugador40,Jugador18,Jugador309,Jugador194,Jugador191,Jugador220,Jugador120,Jugador358,Jugador381","Jugador332,Jugador187,Jugador398,Jugador80,Jugador296,Jugador139,Jugador96,Jugador379,Jugador388,Jugador97,Jugador275",,Jugador286;Jugador29,,,
50,5,Manchester United,Brentford,2,0,Jugador284;Jugador350,Jugador245,Jugador284 (penalti),"Jugador115,Jugador112,Jugador240,Jugador228,Jugador300,Jugador58,Jugador390,Jugador219,Jugador30,Jugador251,Jugador359","Jugador78,Jugador192,Jugador19,Jugador325,Jugador6,Jugador136,Jugador37,Jugador175,Jugador69,Jugador22,Jugador307",Jugador246;Jugador125,Jugador317,,Jugador367 (lesión),Staff Brentford (amarilla)
51,6,Tottenham,Chelsea,3,2,Jugador128;Jugador146;Jugador203;Jugador340;Jugador296,Jugador238;Jugador34;Jugador230;Jugador204,,"Jugador324,Jugador120,Jugador91,Jugador97,Jugador375,Jugador41,Jugador314,Jugador329,Jugador8,Jugador147,Jugador202","Jugador343,Jugador144,Jugador239,Jugador193,Jugador49,Jugador294,Jugador238,Jugador339,Jugador201,Jugador179,Jugador265",Jugador59;Jugador361,Jugador370,,,
52,6,Aston Villa,Brighton,0,3,Jugador137;Jugador226;Jugador159,Jugador343;Jugador33,,"Jugador254,Jugador122,Jugador172,Jugador47,Jugador196,Jugador256,Jugador214,Jugador392,Jugador94,Jugador345,Jugador139","Jugador79,Jugador103,Jugador24,Jugador383,Jugador231,Jugador27,Jugador17,Jugador179,Jugador93,Jugador256,Jugador323",Jugador257;Jugador300,,,,
53,6,Manchester United,Fulham,4,3,Jugador281;Jugador184;Jugador337;Jugador148;Jugador395;Jugador164;Jugador161,Jugador272;Jugador41;Jugador127;Jugador106;Jugador187;Jugador9,,"Jugador57,Jugador219,Jugador324,Jugador275,Jugador354,Jugador86,Jugador201,Jugador226,Jugador67,Jugador388,Jugador300","Jugador279,Jugador47,Jugador345,Jugador132,Jugador386,Jugador283,Jugador16,Jugador100,Jugador199,Jugador52,Jugador363",Jugador5;Jugador346;Jugador13;Jugador219,Jugador179;Jugador298,,,
54,6,Bournemouth,Burnley,4,1,Jugador3;Jugador185;Jugador309;Jugador97;Jugador58,Jugador324;Jugador69;Jugador392;Jugador205,,"Jugador8,Jugador72,Jugador337,Jugador67,Jugador99,Jugador323,Jugador237,Jugador42,Jugador306,Jugador79,Jugador270","Jugador361,Jugador319,Jugador120,Jugador128,Jugador59,Jugador363,Jugador342,Jugador76,Jugador321,Jugador178,Jugador339",Jugador19;Jugador100;Jugador321;Jugador189;Jugador232,,,,Staff Burnley (amarilla)
55,6,Brentford,Nottingham Forest,1,0,Jugador15,,,"Jugador326,Jugador354,Jugador197,Jugador204,Jugador29,Jugador14,Jugador104,Jugador275,Jugador151,Jugador138,Jugador102","Jugador28,Jugador210,Jugador252,Jugador202,Jugador302,Jugador286,Jugador157,Jugador150,Jugador154,Jugador355,Jugador125",,Jugador85;Jugador272,,,
56,6,Crystal Palace,Luton Town,2,3,Jugador203;Jugador156;Jugador199;Jugador352;Jugador168,Jugador101;Jugador169;Jugador51;Jugador96,,"Jugador317,Jugador200,Jugador217,Jugador87,Jugador221,Jugador94,Jugador68,Jugador72,Jugador40,Jugador328,Jugador238","Jugador2,Jugador48,Jugador254,Jugador162,Jugador287,Jugador63,Jugador154,Jugador216,Jugador351,Jugador79,Jugador45",Jugador137;Jugador14;Jugador325;Jugador246;Jugador324;Jugador313,Jugador186,,,
57,6,Newcastle,Everton,0,3,Jugador296;Jugador51;Jugador269,Jugador19;Jugador381,Jugador296 (penalti),"Jugador352,Jugador378,Jugador11,Jugador223,Jugador217,Jugador234,Jugador292,Jugador351,Jugador314,Jugador251,Jugador207","Jugador254,Jugador61,Jugador239,Jugador93,Jugador149,Jugador8,Jugador190,Jugador278,Jugador321,Jugador266,Jugador315",Jugador208;Jugador362;Jugador121;Jugador303;Jugador172,,,Jugador320 (lesión),Staff Everton (amarilla)
58,6,Wolves,Manchester City,3,3,Jugador314;Jugador288;Jugador176;Jugador30;Jugador7;Jugador220,Jugador191;Jugador324;Jugador112;Jugador210;Jugador360,,"Jugador83,Jugador13,Jugador7,Jugador236,Jugador380,Jugador257,Jugador49,Jugador136,Jugador187,Jugador105,Jugador344","Jugador139,Jugador313,Jugador213,Jugador258,Jugador296,Jugador84,Jugador20,Jugador281,Jugador386,Jugador228,Jugador306",,,,,
59,6,West Ham,Arsenal,3,4,Jugador270;Jugador363;Jugador200;Jugador381;Jugador34;Jugador320;Jugador99,Jugador141;Jugador64;Jugador163;Jugador362;Jugador35;Jugador22,,"Jugador396,Jugador109,Jugador132,Jugador19,Jugador11,Jugador7,Jugador164,Jugador355,Jugador386,Jugador147,Jugador329","Jugador97,Jugador186,Jugador277,Jugador171,Jugador289,Jugador299,Jugador52,Jugador21,Jugador116,Jugador26,Jugador352",Jugador113;Jugador171;Jugador121;Jugador187,,,,
