Name: 'AC Milan' | Logo: 'None'
Name: 'Rayo Vallecano' | Logo: '/images/Liga EaSports/Rayo Vallecano.png'
Name: 'Real Madrid' | Logo: '/images/Liga EaSports/realmadrid.png'
Name: 'Real Oviedo' | Logo: '/images/Liga EaSports/Real Oviedo.png'
Name: 'Real Sociedad' | Logo: '/images/Liga EaSports/real sociedad.png'
Name: 'Real Sociedad B' | Logo: '/images/Liga Hypermotion/Real Sociedad B.png'
Name: 'Real Sporting' | Logo: '/images/Liga Hypermotion/real sporting.png'
Name: 'Real Valladolid' | Logo: '/images/Liga Hypermotion/Real Valladolid.png'
Name: 'Real Zaragoza' | Logo: '/images/Liga Hypermotion/Real Zaragoza.png'
Name: 'Roma' | Logo: 'None'
Name: 'Sevilla' | Logo: 'https://media.api-sports.io/football/teams/536.png'
Name: 'St. Pauli' | Logo: '/images/Bundesliga/st-pauli.png'
Name: 'Stuttgart' | Logo: 'None'
Name: 'Sunderland' | Logo: 'None'
Name: 'Torino' | Logo: 'None'
Name: 'Tottenham' | Logo: 'None'
Name: 'Udinese' | Logo: 'None'
Name: 'Union Berlin' | Logo: 'None'
Name: 'Valencia' | Logo: '/images/Liga EaSports/valencia.png'
Name: 'Venezia' | Logo: 'None'
Name: 'Villareal' | Logo: 'None'
Name: 'Villarreal' | Logo: '/images/Liga EaSports/villarreal.png'
Name: 'Werder Bremen' | Logo: 'None'
Name: 'West Ham' | Logo: 'None'
Name: 'Wolfsburg' | Logo: 'None'
Name: 'Wolves' | Logo: 'None'
